H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Home_W_Pct_10,Away_W_Pct_10,H_Team_Elo_Before,A_Team_Elo_Before
0.4,0.442,0.376,0.777,42.3,23.8,11.7,6.0,6.9,1.8,111.3,109.3,0.552,0.25,0.481,0.387,0.7659999999999999,39.8,23.3,14.0,4.5,4.5,-6.3,111.3,117.2,0.5760000000000001,1,0.2,0.1,1512.9408934531143,1492.6708739540338
0.2,0.419,0.348,0.757,42.1,19.5,11.5,8.0,2.5,-3.7,103.7,107.2,0.511,0.8,0.51,0.368,0.847,43.9,28.5,16.9,7.5,5.4,9.4,114.4,104.6,0.609,0,0.0,0.3,1468.456930474871,1526.501743879243
0.4,0.508,0.4,0.6559999999999999,41.0,22.0,14.1,7.3,4.3,-4.5,110.2,113.8,0.579,0.25,0.437,0.326,0.792,37.8,19.2,10.8,7.1,7.3,-5.9,108.0,113.7,0.551,1,0.2,0.1,1497.0123142894204,1484.584814346346
0.25,0.442,0.352,0.687,39.1,21.1,14.3,8.0,5.3,-5.8,106.1,111.1,0.546,0.5,0.4429999999999999,0.293,0.841,46.6,20.0,14.4,4.6,5.6,0.7,104.9,104.1,0.545,0,0.1,0.2,1493.0482148929934,1508.9644092934982
0.4,0.4579999999999999,0.3879999999999999,0.866,41.0,23.4,14.3,9.2,5.7,0.6,113.5,113.1,0.575,1.0,0.46,0.374,0.768,50.8,24.8,15.3,6.2,7.4,10.5,114.1,103.8,0.575,0,0.2,0.3,1504.2249644950614,1529.7643036135437
1.0,0.474,0.3829999999999999,0.764,52.1,25.8,15.5,5.7,7.4,14.0,114.2,100.2,0.588,0.4,0.431,0.34,0.711,46.8,25.3,13.9,6.6,6.0,-8.2,103.2,111.7,0.514,1,0.4,0.1,1553.8579698745853,1462.8867222168185
0.5,0.397,0.35,0.764,40.4,21.1,13.3,9.3,3.8,-2.8,99.7,102.5,0.508,0.25,0.476,0.355,0.7440000000000001,42.6,26.1,17.7,5.7,2.7,-11.1,105.4,116.2,0.5820000000000001,1,0.2,0.0,1514.2829638983887,1453.5722910850816
0.5,0.461,0.4039999999999999,0.7020000000000001,42.1,24.4,16.1,7.1,4.8,-0.9,107.6,108.3,0.574,0.2,0.472,0.401,0.759,38.7,22.8,14.0,4.6,5.0,-10.8,110.4,120.5,0.573,0,0.2,0.1,1517.5751053230906,1476.9562303486853
1.0,0.4539999999999999,0.376,0.723,46.4,20.9,13.5,4.2,4.4,3.2,114.0,110.8,0.5479999999999999,0.6,0.407,0.318,0.768,49.0,22.0,13.9,6.3,3.4,2.2,99.2,96.6,0.501,0,0.3,0.2,1514.3292412019914,1498.1251298801646
1.0,0.5,0.3979999999999999,0.727,46.8,27.2,11.0,8.7,6.1,11.2,120.1,109.9,0.5870000000000001,0.5,0.439,0.373,0.78,44.1,20.7,16.7,7.9,4.7,2.0,105.9,104.2,0.5660000000000001,0,0.3,0.1,1523.6617428426232,1498.9091915076765
